_id,CODICEIDENTIFICATIVOFARMACIA,CODFARMACIAASSEGNATODAASL,INDIRIZZO,DESCRIZIONEFARMACIA,PARTITAIVA,CAP,CODICECOMUNEISTAT,DESCRIZIONECOMUNE,FRAZIONE,CODICEPROVINCIAISTAT,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,CODICEREGIONE,DESCRIZIONEREGIONE,DATAINIZIOVALIDITA,DATAFINEVALIDITA,DESCRIZIONETIPOLOGIA,CODICETIPOLOGIA,LATITUDINE,LONGITUDINE,LOCALIZE
2344,10379,0,"Via XX Settembre, 8",PIETRANDREA VALENTINA,00105770606,3013,60033,FERENTINO,-,60,FR,FROSINONE,120,LAZIO,2015-01-03T00:00:00,-,Ordinaria,1,41.69474,13.24833,1
2345,10379,0,"Via Consolare, 103",PIETRANDREA VINCENZO,-,3013,60033,FERENTINO,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,31/03/2007,Ordinaria,1,41.69474,13.24833,1
2346,10380,0,Via Osteria della Fontana,FORLI FRANCESCO,00297970600,3012,60006,ANAGNI,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.74472,13.15269,1
2347,10381,0,"Viale Giglio, 168",DEL GIGLIO SNC Dr.i Muscedere Lucio & Lorenzo,02356700605,3029,60085,VEROLI,SANT'ANGELO IN VILLA,60,FR,FROSINONE,120,LAZIO,2010-01-10T00:00:00,28/02/2013,Ordinaria,1,41.71893,13.44934,1
2348,10381,0,"Viale Giglio, 168",DEL GIGLIO SNC DR.I MUSCEDERE LORENZO E LUCIO SNC,02356700605,3029,60085,VEROLI,SANT'ANGELO IN VILLA,60,FR,FROSINONE,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.71893,13.44934,1
2349,10381,0,"Viale Giglio, 168",DEL GIGLIO SNC Dr.i Muscedere Lucio & Lorenzo,-,3029,60085,VEROLI,SANT'ANGELO IN VILLA,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,30/09/2010,Ordinaria,1,41.71893,13.44934,1
2350,10382,0,"Via S.Angelo, snc",FELICI PUCCETTI RUGGERO,00312830607,3043,60019,CASSINO,SANT'ANGELO,60,FR,FROSINONE,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.47889,13.83556,1
2351,10382,0,"Via Trieste, 16",FELICI PUCCETTI RUGGERO,01642010506,3043,60019,CASSINO,SANT'ANGELO,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,31/08/2010,Ordinaria,1,41.47889,13.83556,1
2352,10382,0,"Via Trieste, 16",FELICI PUCCETTI RUGGERO,00312830607,3043,60019,CASSINO,SANT'ANGELO,60,FR,FROSINONE,120,LAZIO,2010-01-09T00:00:00,28/02/2013,Ordinaria,1,41.47889,13.83556,1
2353,10383,0,Viale Dante,VERNILE VINCENZA,00305940603,3030,60089,VILLA SANTA LUCIA,-,60,FR,FROSINONE,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.5132,13.77382,1
